nms_poller_engine  | 2026-03-27 01:47:52,350 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.43ms
nms_poller_engine  | 2026-03-27 01:47:52,361 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=9.09ms
nms_poller_engine  | 2026-03-27 01:47:52,365 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.67ms
nms_poller_engine  | 2026-03-27 01:47:52,376 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.75ms
nms_poller_engine  | 2026-03-27 01:47:53,379 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:47:53,384 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.3ms
nms_poller_engine  | 2026-03-27 01:47:53,389 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.91ms
nms_poller_engine  | 2026-03-27 01:47:53,393 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.03ms
nms_poller_engine  | 2026-03-27 01:48:10,416 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:48:41,408 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:48:41,433 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.8ms
nms_poller_engine  | 2026-03-27 01:48:41,437 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.4ms
nms_poller_engine  | 2026-03-27 01:48:41,447 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.77ms
nms_poller_engine  | 2026-03-27 01:48:41,451 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.51ms
nms_poller_engine  | 2026-03-27 01:48:41,463 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.92ms
nms_poller_engine  | 2026-03-27 01:48:42,466 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:48:42,472 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.05ms
nms_poller_engine  | 2026-03-27 01:48:42,476 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.62ms
nms_poller_engine  | 2026-03-27 01:48:42,480 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=1.85ms
nms_poller_engine  | 2026-03-27 01:48:59,479 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:49:30,469 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:49:30,494 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.8ms
nms_poller_engine  | 2026-03-27 01:49:30,499 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.99ms
nms_poller_engine  | 2026-03-27 01:49:30,509 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.86ms
nms_poller_engine  | 2026-03-27 01:49:30,513 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.33ms
nms_poller_engine  | 2026-03-27 01:49:30,525 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=9.17ms
nms_poller_engine  | 2026-03-27 01:49:31,529 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:49:31,535 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=3.03ms
nms_poller_engine  | 2026-03-27 01:49:31,538 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.47ms
nms_poller_engine  | 2026-03-27 01:49:31,542 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=1.84ms
nms_poller_engine  | 2026-03-27 01:49:49,005 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:50:19,999 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:50:20,026 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=15.3ms
nms_poller_engine  | 2026-03-27 01:50:20,036 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=8.24ms
nms_poller_engine  | 2026-03-27 01:50:20,047 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.78ms
nms_poller_engine  | 2026-03-27 01:50:20,050 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.25ms
nms_poller_engine  | 2026-03-27 01:50:20,061 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.61ms
nms_poller_engine  | 2026-03-27 01:50:21,063 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:50:21,068 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=1.63ms
nms_poller_engine  | 2026-03-27 01:50:21,071 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.44ms
nms_poller_engine  | 2026-03-27 01:50:21,075 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.36ms
nms_poller_engine  | 2026-03-27 01:50:38,091 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:51:09,084 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:51:09,111 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=15.1ms
nms_poller_engine  | 2026-03-27 01:51:09,114 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.52ms
nms_poller_engine  | 2026-03-27 01:51:09,126 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.75ms
nms_poller_engine  | 2026-03-27 01:51:09,129 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.28ms
nms_poller_engine  | 2026-03-27 01:51:09,140 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=9.24ms
nms_poller_engine  | 2026-03-27 01:51:10,142 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:51:10,148 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=1.93ms
nms_poller_engine  | 2026-03-27 01:51:10,152 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=2.25ms
nms_poller_engine  | 2026-03-27 01:51:10,156 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.07ms
nms_poller_engine  | 2026-03-27 01:51:27,134 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:51:58,123 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:51:58,147 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=15.1ms
nms_poller_engine  | 2026-03-27 01:51:58,151 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.57ms
nms_poller_engine  | 2026-03-27 01:51:58,163 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.98ms
nms_poller_engine  | 2026-03-27 01:51:58,166 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.24ms
nms_poller_engine  | 2026-03-27 01:51:58,177 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.98ms
nms_poller_engine  | 2026-03-27 01:51:59,180 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:51:59,187 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.92ms
nms_poller_engine  | 2026-03-27 01:51:59,191 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.59ms
