nms_poller_engine  | 2026-03-27 02:25:12,452 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.81ms
nms_poller_engine  | 2026-03-27 02:25:12,455 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.18ms
nms_poller_engine  | 2026-03-27 02:25:12,467 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=9.13ms
nms_poller_engine  | 2026-03-27 02:25:13,448 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 02:25:13,452 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=1.55ms
nms_poller_engine  | 2026-03-27 02:25:13,456 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.53ms
nms_poller_engine  | 2026-03-27 02:25:13,460 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=1.99ms
nms_poller_engine  | 2026-03-27 02:25:13,463 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=0.841ms
nms_poller_engine  | 2026-03-27 02:25:30,532 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 02:26:01,520 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 02:26:01,546 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.8ms
nms_poller_engine  | 2026-03-27 02:26:01,550 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.55ms
nms_poller_engine  | 2026-03-27 02:26:01,561 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=9.01ms
nms_poller_engine  | 2026-03-27 02:26:01,564 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.4ms
nms_poller_engine  | 2026-03-27 02:26:01,575 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.9ms
nms_poller_engine  | 2026-03-27 02:26:02,578 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 02:26:02,584 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=1.59ms
nms_poller_engine  | 2026-03-27 02:26:02,588 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.63ms
nms_poller_engine  | 2026-03-27 02:26:02,593 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.4ms
nms_poller_engine  | 2026-03-27 02:26:02,596 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=1.39ms
nms_poller_engine  | 2026-03-27 02:26:20,206 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 02:26:51,191 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 02:26:51,218 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=14.7ms
nms_poller_engine  | 2026-03-27 02:26:51,222 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.45ms
nms_poller_engine  | 2026-03-27 02:26:51,234 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=9.29ms
nms_poller_engine  | 2026-03-27 02:26:51,238 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=2.18ms
nms_poller_engine  | 2026-03-27 02:26:51,249 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=8.82ms
nms_poller_engine  | 2026-03-27 02:26:52,252 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 02:26:52,257 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=1.84ms
nms_poller_engine  | 2026-03-27 02:26:52,262 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=2.0ms
nms_poller_engine  | 2026-03-27 02:26:52,267 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.49ms
nms_poller_engine  | 2026-03-27 02:26:52,271 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=1.33ms
nms_poller_engine  | 2026-03-27 02:27:09,364 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 02:27:40,354 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 02:27:40,380 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=15.0ms
nms_poller_engine  | 2026-03-27 02:27:40,384 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.56ms
